task,text,true_label,shown_label,correct_trial,standard_nle,cognitive_forcing_nle
irony,Well done. You have more Twitter followers than me. You have succeeded in life,ironic,not_ironic,False,"The sentence directly praises the addressee’s Twitter follower count and life success without any contradictory or sarcastic language, indicating a literal statement.","The statement plainly praises the addressee’s higher Twitter follower count and life success, using straightforward commendation without contradictory language. However, it could be read as a sarcastic remark implying the speaker feels envy or doubts the value of such achievements."
irony,Everybody is out there traveling the world and I'm sitting here studying maps for my last exam #jealousy #almostdone,ironic,not_ironic,False,"The sentence expresses genuine envy without contradictory statements, indicating a straightforward sentiment rather than irony.","The statement plainly expresses genuine frustration about studying while others travel, without using sarcasm or contradictory language. However, it could be read as a tongue‑in‑cheek comment that exaggerates envy for comedic effect."
irony,"If loose lips sink ships, then loose tweets sink fleets.",ironic,not_ironic,False,"The sentence states a literal comparison without contradictory intent, presenting a straightforward analogy rather than sarcasm.","The sentence presents a straightforward analogy between the proverb “loose lips sink ships” and modern social media, without employing sarcasm or contradictory intent. However, it could also be read as a satirical comment on the impact of online speech."
irony,And my christmas shopping is done.,not_ironic,ironic,False,"The statement contrasts the speaker’s likely ongoing holiday stress with a claim of completion, creating a sarcastic understatement.","The statement juxtaposes the expectation of ongoing holiday stress with a claim of completion, creating a contrast that signals irony. However, it could simply be a straightforward remark about having finished shopping without any ironic intent."
irony,Cannot wait to go to the dentist later!,ironic,not_ironic,False,"The sentence plainly expresses genuine anticipation for a dental appointment without any contradictory or sarcastic language, indicating a literal, non‑ironic statement.","The statement expresses a straightforward expectation of attending a dental appointment, using literal language without any apparent sarcasm or contrast. However, it could be read as a sarcastic remark implying reluctance to visit the dentist."
irony,So that went well,ironic,ironic,True,"The phrase ""So that went well"" is used to convey the opposite of success, indicating a failure despite the literal wording suggesting a positive outcome.","The phrase “So that went well” is typically used sarcastically to comment on a situation that actually failed, indicating irony. However, it could also be interpreted literally as a straightforward acknowledgment of a successful outcome."
irony,OMG YES. 7:30 FINALS ON A FRIDAY ARE MY FAVORITE.,ironic,ironic,True,"The statement praises having finals on a Friday, which are typically stressful, creating a contrast between expressed enthusiasm and expected negative sentiment.","The statement juxtaposes enthusiasm with the typically stressful context of finals, creating a contrast that signals irony. However, it could also be read as a sincere expression of personal preference for that schedule."
irony,I fell asleep posting my last post.,ironic,ironic,True,"The statement juxtaposes the act of posting a final message with falling asleep, creating a contradictory outcome that signals an ironic situation.","The statement juxtaposes the act of posting with falling asleep, creating a contrast between expected alertness and unexpected fatigue, which is characteristic of irony. However, it could also be read simply as a literal description of the speaker’s experience without any ironic intent."
irony,Ahhh Finals week.... I'll throw a kegger at my house for all the survivors #Motivating #RIP,ironic,ironic,True,"The sentence juxtaposes a stressful academic period with a celebratory keg party, using sarcasm to highlight the absurdity of partying during finals.","The statement juxtaposes the stress of finals with a celebratory keg party, creating a contrast that signals irony. However, it could also be read as a sincere invitation to relieve exam pressure."
irony,Look really awake and like I've made an effort today,ironic,ironic,True,"The statement claims the speaker appears awake and has made an effort, contradicting the likely tired appearance, indicating sarcasm.","The statement juxtaposes the claim of being fully awake and having made an effort with the likely reality of fatigue, creating a contrast typical of irony. However, it could also be read as a sincere self‑assessment of one's alertness and preparation."
sarcasm,I've been laid off !! Nice:)),sarcastic,not_sarcastic,False,"The statement directly expresses disappointment about job loss without contradictory language or ironic cues, indicating a sincere, non‑sarcastic tone.","The sentence states a factual event of being laid off followed by an exclamation and a smiley, indicating a straightforward expression. However, the juxtaposition of disappointment with a cheerful emoticon could also be interpreted as sarcastic irony."
sarcasm,ugh I have to send an email??? how about I just quit!!!!!,sarcastic,not_sarcastic,False,"The sentence expresses genuine frustration about an obligatory task, using literal language and exaggerated punctuation without indicating ironic or mocking intent.","The utterance conveys literal annoyance about having to send an email, using exaggerated punctuation to emphasize genuine irritation. However, the exaggerated tone and punctuation could also be interpreted as a sarcastic mock‑complaint about the task."
sarcasm,wow i love only ever buying gray and striped shirts,sarcastic,not_sarcastic,False,"The sentence plainly expresses a personal preference without any contradictory or ironic language, indicating a straightforward statement rather than sarcasm.","The statement plainly expresses a personal preference for gray and striped shirts without using irony or contradictory language. However, the exaggerated enthusiasm could be interpreted as a subtle sarcastic remark about limited fashion choices."
sarcasm,omg there's a sheet of ice in front of my school. should I slip and fall?,sarcastic,not_sarcastic,False,"The sentence directly describes a literal situation—a sheet of ice at school—and asks a genuine question about slipping, without ironic or mocking language.","The utterance plainly describes a hazardous ice sheet and asks a literal question about slipping, showing no obvious ironic contrast. However, the exaggerated phrasing “omg” and rhetorical question could be interpreted as a sarcastic comment about the situation."
sarcasm,It would be sick to retire and have my own green bean farm.,not_sarcastic,sarcastic,False,"The statement juxtaposes an unrealistic, exaggerated desire with a mundane outcome, indicating a mocking tone that signals sarcasm.","The statement juxtaposes an unrealistic desire with the informal slang “sick,” suggesting a mocking tone typical of sarcasm. However, it could also be read as a genuine, whimsical expression of personal ambition."
sarcasm,'It's only a game' 🥴🥴,sarcastic,sarcastic,True,"The phrase “It’s only a game” paired with exaggerated 🥴 emojis signals a mocking tone that contradicts the literal meaning, indicating sarcasm.","The phrase uses quotation marks around “It’s only a game” and a grimacing emoji, signaling that the speaker likely means the opposite of the literal statement. However, it could also be read as a sincere reassurance accompanied by a playful emoticon."
sarcasm,I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,sarcastic,sarcastic,True,"The statement juxtaposes a claimed love for online shopping with an exaggerated fear of employee attention, indicating ironic criticism rather than genuine praise.","The statement juxtaposes a positive claim about loving online shopping with an exaggerated fear of being observed in a physical store, a typical pattern of sarcasm. However, it could also be read as a sincere expression of discomfort with in‑person shopping."
sarcasm,apparently it's national siblings day? idgaf 💀,sarcastic,sarcastic,True,"The sentence uses a dismissive tone, rhetorical question, and a skull emoji to mock the significance of an apparently trivial ""national siblings day.""","The use of the dismissive phrase “idgaf” together with the skull emoji conveys a mocking attitude toward the supposed holiday. However, the speaker could simply be expressing genuine indifference without intending irony."
sarcasm,imagine being able to sleep haha can't relate,sarcastic,sarcastic,True,"The statement juxtaposes a seemingly earnest wish to sleep with a dismissive “haha” and “can’t relate,” indicating mockery.","The statement juxtaposes the claim of being able to sleep with a mocking “haha” and the assertion “can’t relate,” indicating a sarcastic tone. However, it could also be read as a literal expression of frustration about insomnia."
sarcasm,Listening to the rain when you're tucked up in bed is one of life's simplest pleasures ☔️,not_sarcastic,not_sarcastic,True,"The sentence plainly expresses a sincere appreciation of listening to rain in bed, without any ironic or mocking language.","The statement plainly describes enjoying rain while in bed, using sincere language and an emoji, which aligns with a literal appreciation rather than ironic intent. However, a reader could interpret the comment as a gentle mockery of overly romanticized descriptions of simple comforts."
